"source","code","test_name","unit","loinc","default_unit"
"EPIC","4709","WHITE BLOOD CELL","X10(3)/","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","UL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","1000/cumm","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x10-3","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","10.8","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","X 10 3","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","K/moL","6690-2","10*9/L"
"EPIC","4709","WHITE BLOOD CELL","x1000/mm^3","6690-2","10*9/L"
"EPIC","4063","PLATELET","x10 3/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","x10E3/uL","777-3","10*9/L"
"EPIC","4063","PLATELET",NA,"777-3","10*9/L"
"EPIC","4063","PLATELET","X10","777-3","10*9/L"
"EPIC","4063","PLATELET","X103/UL","777-3","10*9/L"
"EPIC","4063","PLATELET","Thous/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","x10(3)uL","777-3","10*9/L"
"EPIC","4063","PLATELET","K/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","10^3/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","x10","777-3","10*9/L"
"EPIC","4063","PLATELET","K/UL","777-3","10*9/L"
"EPIC","4063","PLATELET","x10^3/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","k/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","THOUS/CMM","777-3","10*9/L"
"EPIC","4063","PLATELET","k/ul","777-3","10*9/L"
"EPIC","4063","PLATELET","Thous/mcL","777-3","10*9/L"
"EPIC","4063","PLATELET","10E3/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","thous/mcl","777-3","10*9/L"
"EPIC","4063","PLATELET","K/cmm","777-3","10*9/L"
"EPIC","4063","PLATELET","X10E3/UL","777-3","10*9/L"
"EPIC","4063","PLATELET","K/mcL","777-3","10*9/L"
"EPIC","4063","PLATELET","Thou/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","thous/mcL","777-3","10*9/L"
"EPIC","4063","PLATELET","k/cu mm","777-3","10*9/L"
"EPIC","4063","PLATELET","x10(3)/mcl","777-3","10*9/L"
"EPIC","4063","PLATELET","10^9/L","777-3","10*9/L"
"EPIC","4063","PLATELET","x10(9)/L","777-3","10*9/L"
"EPIC","4063","PLATELET","K/CU MM","777-3","10*9/L"
"EPIC","4063","PLATELET","x10^9/L","777-3","10*9/L"
"EPIC","4063","PLATELET","ML","777-3","10*9/L"
"EPIC","4063","PLATELET","10^3/ul","777-3","10*9/L"
"EPIC","4063","PLATELET","X10(3)/uL","777-3","10*9/L"
"EPIC","4063","PLATELET","UL","777-3","10*9/L"
"EPIC","4063","PLATELET","x10-3","777-3","10*9/L"
"EPIC","4063","PLATELET","1000/cumm","777-3","10*9/L"
"EPIC","4063","PLATELET","10*/ul","777-3","10*9/L"
"EPIC","4063","PLATELET","x10(3)(uL)","777-3","10*9/L"
"EPIC","4063","PLATELET","THDS/CMM","777-3","10*9/L"
"EPIC","4233","RBC BLOOD CELL","x10 6/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10E6/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL",NA,"788-0","%"
"EPIC","4233","RBC BLOOD CELL","X10","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","MIL/MM3","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","X106/UL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","Milli/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","M/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10(6)uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","10^6/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10^6/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","MILL/CMM","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","m/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","M/UL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","Mill/mcL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","10E6/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","M/cmm","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10(6)/mcl","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","m/ul","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","Mil/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","MIL/UL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","mill/mcl","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","M/CU MM","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","Mill/mcl","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10(6)/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","mil/mcL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x106E6/uL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","millions/mcl","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10e6/UL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","10^3/uL","23859-2","10*3/uL"
"EPIC","4233","RBC BLOOD CELL","x10(12)/L","82588-5","10*12/L"
"EPIC","4233","RBC BLOOD CELL","10E6/UL","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","%","788-0","%"
"EPIC","4233","RBC BLOOD CELL","x10-6","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10(6)(uL)","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","x10^12/L","789-8","10*12/L"
"EPIC","4233","RBC BLOOD CELL","10^12/L","82588-5","10*12/L"
"EPIC","4233","RBC BLOOD CELL","mill/mm^3","789-8","10*12/L"
"EPIC","3732","MEAN CORP. HGB CONC.","G/DL","786-4","g/L;g/dL"
"EPIC","3732","MEAN CORP. HGB CONC.","g/dL","786-4","g/L;g/dL"
"EPIC","3732","MEAN CORP. HGB CONC.",NA,"786-4","g/L;g/dL"
"EPIC","3732","MEAN CORP. HGB CONC.","gm/dL","786-4","g/L;g/dL"
"EPIC","3732","MEAN CORP. HGB CONC.","g/dl","786-4","g/L;g/dL"
"EPIC","3732","MEAN CORP. HGB CONC.","%","786-4","g/L;g/dL"
"EPIC","3732","MEAN CORP. HGB CONC.","GM%","786-4","g/L;g/dL"
"EPIC","3731","MEAN CORP. HGB","PG","785-6","pg"
"EPIC","3731","MEAN CORP. HGB","pg","785-6","pg"
"EPIC","3731","MEAN CORP. HGB",NA,"785-6","pg"
"EPIC","3731","MEAN CORP. HGB","UUG","785-6","pg"
"EPIC","3733","MEAN CORP. VOLUME","FL","787-2","fL"
"EPIC","3733","MEAN CORP. VOLUME","fL","787-2","fL"
"EPIC","3733","MEAN CORP. VOLUME",NA,"787-2","fL"
"EPIC","3733","MEAN CORP. VOLUME","fl","787-2","fL"
"EPIC","3733","MEAN CORP. VOLUME","U3","787-2","fL"
"EPIC","3377","HEMOGLOBIN","G/DL","718-7","g/dL"
"EPIC","3377","HEMOGLOBIN","g/dL","718-7","g/dL"
"EPIC","3377","HEMOGLOBIN",NA,"718-7","g/dL"
"EPIC","3377","HEMOGLOBIN","g/dl","718-7","g/dL"
"EPIC","3377","HEMOGLOBIN","gm/dL","718-7","g/dL"
"EPIC","3377","HEMOGLOBIN","GM/DL","718-7","g/dL"
"EPIC","3377","HEMOGLOBIN","gm/dl","718-7","g/dL"
"EPIC","3377","HEMOGLOBIN","m/ul","718-7","g/dL"
"EPIC","3370","HEMATOCRIT","%","4544-3","L/L;%"
"EPIC","3370","HEMATOCRIT",NA,"4544-3","L/L;%"
"EPIC","3370","HEMATOCRIT","%pcv","4544-3","L/L;%"
"EPIC","4235","RED DISTRIB. WIDTH","%","788-0","%"
"EPIC","4235","RED DISTRIB. WIDTH",NA,"788-0","%"
"EPIC","2991","CREATININE-SERUM","MG/DL","2160-0","mg/dL"
"EPIC","2991","CREATININE-SERUM","mg/dL","2160-0","mg/dL"
"EPIC","2991","CREATININE-SERUM",NA,"2160-0","mg/dL"
"EPIC","2991","CREATININE-SERUM","mg/dl","2160-0","mg/dL"
"EPIC","3285","GLUCOSE","MG/DL","2345-7","mg/dL"
"EPIC","3285","GLUCOSE","mg/dL","2345-7","mg/dL"
"EPIC","3285","GLUCOSE",NA,"2345-7","mg/dL"
"EPIC","3285","GLUCOSE","mg/dl","2345-7","mg/dL"
"EPIC","4585","UREA NITROGEN-BLD","MG/DL","6299-2","mg/dL"
"EPIC","4585","UREA NITROGEN-BLD","mg/dL","6299-2","mg/dL"
"EPIC","4585","UREA NITROGEN-BLD",NA,"6299-2","mg/dL"
"EPIC","4585","UREA NITROGEN-BLD","mg/dl","6299-2","mg/dL"
"EPIC","4585","UREA NITROGEN-BLD","mmol/L","59570-2","mmol/L"
"EPIC","4585","UREA NITROGEN-BLD","7","6299-2","mg/dL"
"EPIC","3734","MEAN PLT VOLUME","FL","32623-1","fL"
"EPIC","3734","MEAN PLT VOLUME",NA,"32623-1","fL"
"EPIC","3734","MEAN PLT VOLUME","fL","32623-1","fL"
"EPIC","4115","POTASSIUMBLD","MEQ/L","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD",NA,"6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","mmol/L","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","MMOL/L","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","mEq/L","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","mmol/l","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","meq/L","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","meq/l","6298-4","mmol/L"
"EPIC","4115","POTASSIUMBLD","mEq/l","6298-4","mmol/L"
"EPIC","4319","SODIUM-BLD","MEQ/L","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD",NA,"2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","mmol/L","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","mEq/L","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","MMOL/L","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","meq/L","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","mmol/l","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","meq/l","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","mg/dL","2951-2","mmol/L"
"EPIC","4319","SODIUM-BLD","mEq/l","2951-2","mmol/L"
"EPIC","2844","CHLORIDE-BLD","MEQ/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD",NA,"2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","mmol/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","mEq/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","MMOL/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","meq/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","mmol/l","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","meq/l","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","mmoL/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","mg/dL","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","MM0L/L","2075-0","mmol/L"
"EPIC","2844","CHLORIDE-BLD","mEq/l","2075-0","mmol/L"
"EPIC","2767","CALCIUM, BLD","MG/DL","17861-6","mg/dL"
"EPIC","2767","CALCIUM, BLD","mg/dL","17861-6","mg/dL"
"EPIC","2767","CALCIUM, BLD",NA,"17861-6","mg/dL"
"EPIC","2767","CALCIUM, BLD","mg/dl","17861-6","mg/dL"
"EPIC","2767","CALCIUM, BLD","mg/mL","17861-6","mg/dL"
"EPIC","2785","CARBON DIOXIDE-BLD","MEQ/L","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","mEq/L","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","mmol/L","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD",NA,"2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","MMOL/L","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","mmol/l","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","meq/L","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","meq/l","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","mEq/l","2028-9","mmol/L"
"EPIC","2785","CARBON DIOXIDE-BLD","mmmol/L","2028-9","mmol/L"
"EPIC","3699","LYMPHOCYTE %","%","736-9","%"
"EPIC","3699","LYMPHOCYTE %",NA,"736-9","%"
"EPIC","3799","MONOCYTE %","%","26485-3","%"
"EPIC","3799","MONOCYTE %",NA,"26485-3","%"
"EPIC","3799","MONOCYTE %","x10 3/uL","742-7","10*9/L"
"EPIC","5199","EGFR AFRICAN AM",NA,"48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","ml/min/1.73m2","48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","mL/min/1.73","48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","ML/MIN/1.7","48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","mL/min","48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","mL/min/1.73m2","48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","ml/min","48643-1","mL/min; ml/min/1.73m2"
"EPIC","5199","EGFR AFRICAN AM","ML/MIN/1.73","48643-1","mL/min; ml/min/1.73m2"
"EPIC","2645","BASOPHIL %","%","706-2","%"
"EPIC","2645","BASOPHIL %",NA,"706-2","%"
"EPIC","5200","EGFR NON-AFRICAN AM",NA,"48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","ml/min/1.73m2","48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","mL/min/1.73","48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","ML/MIN/1.7","48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","mL/min","48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","mL/min/1.73m2","48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","ml/min","48642-3","mL/min; ml/min/1.73m2"
"EPIC","5200","EGFR NON-AFRICAN AM","ML/MIN/1.73","48642-3","mL/min; ml/min/1.73m2"
"EPIC","3858","NEUTROPHIL %","%","770-8","%"
"EPIC","3858","NEUTROPHIL %",NA,"770-8","%"
"EPIC","3858","NEUTROPHIL %","fL","770-8","%"
"EPIC","3858","NEUTROPHIL %","10^9/L","770-8","%"
"EPIC","3858","NEUTROPHIL %","^","770-8","%"
"EPIC","3139","EOSINOPHIL %","%","713-8","%"
"EPIC","3139","EOSINOPHIL %",NA,"713-8","%"
"EPIC","2644","BASOPHIL #","x10 3/uL","704-7","10*9/L"
"EPIC","2644","BASOPHIL #","x10E3/uL","704-7","10*9/L"
"EPIC","2644","BASOPHIL #",NA,"704-7","10*9/L"
"EPIC","2644","BASOPHIL #","K/uL","704-7","10*9/L"
"EPIC","2644","BASOPHIL #","X103/UL","704-7","10*9/L"
"EPIC","2644","BASOPHIL #","x10","704-7","10*9/L"
"EPIC","3138","EOSINOPHIL #","x10 3/uL","711-2","10*9/L"
"EPIC","3138","EOSINOPHIL #","x10E3/uL","711-2","10*9/L"
"EPIC","3138","EOSINOPHIL #",NA,"711-2","10*9/L"
"EPIC","3138","EOSINOPHIL #","K/uL","711-2","10*9/L"
"EPIC","3138","EOSINOPHIL #","X103/UL","711-2","10*9/L"
"EPIC","3138","EOSINOPHIL #","x10","711-2","10*9/L"
"EPIC","3698","LYMPHOCYTE #","x10 3/uL","731-0","10*9/L"
"EPIC","3698","LYMPHOCYTE #","x10E3/uL","731-0","10*9/L"
"EPIC","3698","LYMPHOCYTE #","K/UL","731-0","10*9/L"
"EPIC","3698","LYMPHOCYTE #",NA,"731-0","10*9/L"
"EPIC","3698","LYMPHOCYTE #","K/uL","731-0","10*9/L"
"EPIC","3698","LYMPHOCYTE #","X103/UL","731-0","10*9/L"
"EPIC","3698","LYMPHOCYTE #","x10","731-0","10*9/L"
"EPIC","3857","NEUTROPHIL #","x10 3/uL","751-8","10*9/L"
"EPIC","3857","NEUTROPHIL #","x10E3/uL","751-8","10*9/L"
"EPIC","3857","NEUTROPHIL #",NA,"751-8","10*9/L"
"EPIC","3857","NEUTROPHIL #","K/uL","751-8","10*9/L"
"EPIC","3857","NEUTROPHIL #","X103/UL","751-8","10*9/L"
"EPIC","3857","NEUTROPHIL #","x10","751-8","10*9/L"
"EPIC","2444","ALBUMIN, BLD","G/DL","1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD","g/dL","1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD",NA,"1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD","g/dl","1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD","gm/dL","1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD","GM/DL","1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD","gm/dl","1751-7","g/L;g/dL; mg/dL"
"EPIC","2444","ALBUMIN, BLD","G/Dl","1751-7","g/L;g/dL; mg/dL"
"EPIC","2685","BILIRUBIN TOTAL","MG/DL","1975-2","mg/dL"
"EPIC","2685","BILIRUBIN TOTAL","mg/dL","1975-2","mg/dL"
"EPIC","2685","BILIRUBIN TOTAL",NA,"1975-2","mg/dL"
"EPIC","2685","BILIRUBIN TOTAL","mg/dl","1975-2","mg/dL"
"EPIC","2685","BILIRUBIN TOTAL","U/L","1975-2","mg/dL"
"EPIC","2685","BILIRUBIN TOTAL","3","1975-2","mg/dL"
"EPIC","2685","BILIRUBIN TOTAL","u/L","1975-2","mg/dL"
"EPIC","3798","MONOCYTE #","x10 3/uL","742-7","10*9/L"
"EPIC","3798","MONOCYTE #","x10E3/uL","742-7","10*9/L"
"EPIC","3798","MONOCYTE #",NA,"742-7","10*9/L"
"EPIC","3798","MONOCYTE #","K/uL","742-7","10*9/L"
"EPIC","3798","MONOCYTE #","X103/UL","742-7","10*9/L"
"EPIC","3798","MONOCYTE #","x10","742-7","10*9/L"
"EPIC","4162","PROTEIN TOTAL, SERUM","G/DL","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","g/dL","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM",NA,"2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","gm/dL","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","g/dl","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","GM/DL","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","gm/dl","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","mg/dL","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","8.3","2885-2","g/L;g/dL"
"EPIC","4162","PROTEIN TOTAL, SERUM","8.5","2885-2","g/L;g/dL"
"EPIC","2484","ALT(SGPT)","U/L","1742-6","U/L"
"EPIC","2484","ALT(SGPT)",NA,"1742-6","U/L"
"EPIC","2484","ALT(SGPT)","IU/L","1742-6","U/L"
"EPIC","2484","ALT(SGPT)","u/L","1742-6","U/L"
"EPIC","2484","ALT(SGPT)","u/l","1742-6","U/L"
"EPIC","2484","ALT(SGPT)","iu/l","1742-6","U/L"
"EPIC","2484","ALT(SGPT)","U/l","1742-6","U/L"
"EPIC","2484","ALT(SGPT)","29","1742-6","U/L"
"EPIC","2484","ALT(SGPT)","63","1742-6","U/L"
"EPIC","2591","AST (SGOT)","U/L","1920-8","U/L"
"EPIC","2591","AST (SGOT)",NA,"1920-8","U/L"
"EPIC","2591","AST (SGOT)","IU/L","1920-8","U/L"
"EPIC","2591","AST (SGOT)","u/L","1920-8","U/L"
"EPIC","2591","AST (SGOT)","u/l","1920-8","U/L"
"EPIC","2591","AST (SGOT)","iu/l","1920-8","U/L"
"EPIC","2591","AST (SGOT)","MG/DL","1920-8","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","U/L","6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD",NA,"6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","IU/L","6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","u/L","6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","u/l","6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","iu/l","6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","iu/L","6768-6","U/L"
"EPIC","2456","ALK PHOSPHATASE, BLD","U/L H","6768-6","U/L"
"EPIC","5304","GLUCOSE (POCT) BY METER","mg/dL","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","MG/DL","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","mg/dl","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER",NA,"41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","2","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","4","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","1 unit","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","2 units","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","8units","41653-7","mg/dL"
"EPIC","5304","GLUCOSE (POCT) BY METER","6units","41653-7","mg/dL"
"EPIC","9575","QRS DURATION","ms","8633-0","MS"
"EPIC","9575","QRS DURATION","MS","8633-0","MS"
"EPIC","9572","VENTRICULAR RATE","BPM","8867-4","beats/min"
"EPIC","9579","R AXIS","degrees","9997-8","deg"
"EPIC","9580","T AXIS","degrees","8638-9",NA
"EPIC","9573","ATRIAL RATE","BPM","93608-8","/s"
"EPIC","9574","P-R INTERVAL","ms","8625-6","s"
"EPIC","9578","P AXIS","degrees","8626-4","deg"
"EPIC","4129","PRO TIME","SECONDS","5902-2","s"
"EPIC","4129","PRO TIME",NA,"5902-2","s"
"EPIC","4129","PRO TIME","sec","5902-2","s"
"EPIC","4129","PRO TIME","SEC","5902-2","s"
"EPIC","4129","PRO TIME","SECS","5902-2","s"
"EPIC","4129","PRO TIME","seconds","5902-2","s"
"EPIC","4129","PRO TIME","second(s)","5902-2","s"
"EPIC","4129","PRO TIME","secs","5902-2","s"
"EPIC","4129","PRO TIME","Seconds","5902-2","s"
"EPIC","14815","CL",NA,"2075-0","mmol/L"
"EPIC","14815","CL","mEq/L","2075-0","mmol/L"
"EPIC","14815","CL","mmol/L","2075-0","mmol/L"
"EPIC","14815","CL","MMOL/L","2075-0","mmol/L"
"EPIC","14815","CL","MEQ/L","2075-0","mmol/L"
"EPIC","2564","APTT","mg/dL","3173-2","s"
"EPIC","2683","BILIRUBIN DIRECT","MG/DL","1968-7","mg/dL"
"EPIC","2683","BILIRUBIN DIRECT","mg/dL","1968-7","mg/dL"
"EPIC","2683","BILIRUBIN DIRECT",NA,"1968-7","mg/dL"
"EPIC","2683","BILIRUBIN DIRECT","mg/dl","1968-7","mg/dL"
"EPIC","2683","BILIRUBIN DIRECT","U/L","1968-7","mg/dL"
"EPIC","2683","BILIRUBIN DIRECT","IU/L","1968-7","mg/dL"
"EPIC","2683","BILIRUBIN DIRECT","mgdl","1968-7","mg/dL"
"EPIC","16210","GLUCOSE (POCT) BY METER","mg/dL","41653-7","mg/dL"
"EPIC","16210","GLUCOSE (POCT) BY METER",NA,"41653-7","mg/dL"
"EPIC","18330","HCT","%","4544-3","L/L;%"
"EPIC","18330","HCT",NA,"4544-3","L/L;%"
"EPIC","18330","HCT","%PCV","4544-3","L/L;%"
"EPIC","19030","WBC","K/uL","6690-2","10*9/L"
"EPIC","19030","WBC",NA,"6690-2","10*9/L"
"EPIC","19030","WBC","/HPF","5821-4","/HPF"
"EPIC","18369","HGB","g/dL","718-7","g/dL"
"EPIC","18369","HGB",NA,"718-7","g/dL"
"EPIC","18369","HGB","G/DL","718-7","g/dL"
"EPIC","18731","PLT CNT","K/uL","777-3","10*9/L"
"EPIC","18731","PLT CNT",NA,"777-3","10*9/L"
"EPIC","18799","RBC COUNT","M/uL","789-8","10*12/L"
"EPIC","18799","RBC COUNT",NA,"789-8","10*12/L"
"EPIC","18799","RBC COUNT","m/ul","789-8","10*12/L"
